descricao_ramal,sigla_ramal
Ferrovia do Aço,FA
Linha CPTM,CP
Linha do Centro,LC
Linha São Paulo,SP
Malha MRS (Geral),MM
Pederneiras,PE
Ramal Aço-Minas,AM
Ramal Arará,RA
Ramal Barreiro,BA
Ramal Brisamar,BR
Ramal Igarapé,IG
Ramal Itaguaí,IT
Ramal Olhos D'água,AO
Ramal Paraopeba,PA
Ramal RGS,RG
Ramal VCP,VC
Santos-Jundiaí,SJ
Segregação Geral,SG
Segregação Leste,SL
Segregação Noroeste,SN
Segregação Sudeste,SS
Serra da Cremalheira,CR
Serra do Mar,SM
Subúrbio,SU
Trecho Central Compartilhado com CPTM,TC
Não se aplica (projeto fora da malha ferroviária),NA
Ramal Conceiçãozinha,CZ
